variant_card_id,set_id,local_id,card_name,population_class,current_illustrator,verified_illustrator,attribution_verdict,printing_identity_class,linked_card_id,linked_current_illustrator,same_physical_printing,printing_description,printing_release_or_product,primary_source,secondary_source,additional_source,evidence_notes,source_conflict,confidence,checked_at
ecard2-103a,ecard2,103a,Porygon,ECARD2_DOT_CODE_VARIANT,Masako Yamashita,Masako Yamashita,CONFIRMED_CORRECT,DISTINCT_PHYSICAL_PRINTING,ecard2-103b,Masako Yamashita,NO,Aquapolis print physically numbered 103a/147. The a and b prints are separate physical printings of the same card that differ in the Pokemon-e Dot Code data printed on the card; artwork and illustrator credit are identical across both. This print's dot code carries map data for the Construction: Action application (dot code ID C-32-a). No un-suffixed Aquapolis 103/147 printing exists - the card was only ever issued as 103a and 103b.,"Aquapolis, English e-Card Series (2003-01-15)",https://bulbapedia.bulbagarden.net/wiki/Porygon_(Aquapolis_103),https://pkmncards.com/card/porygon-aquapolis-aq-103/,,"Bulbapedia trivia: The a and b versions of this card are identical except for its Dot Code data. Both 103a/147 and 103b/147 are credited to Masako Yamashita. PkmnCards AQ #103 scan reads 'Masako Yamashita'. LIMITATION: PkmnCards keeps ONE page per Aquapolis number and does not separate the a and b prints, so it corroborates the illustrator credit on the physical card but supplies no a/b discrimination; Bulbapedia supplies that.",,HIGH,2026-08-20
ecard2-103b,ecard2,103b,Porygon,ECARD2_DOT_CODE_VARIANT,Masako Yamashita,Masako Yamashita,CONFIRMED_CORRECT,DISTINCT_PHYSICAL_PRINTING,ecard2-103a,Masako Yamashita,NO,"Aquapolis print physically numbered 103b/147. The a and b prints are separate physical printings of the same card that differ in the Pokemon-e Dot Code data printed on the card; artwork and illustrator credit are identical across both. This print's dot code carries an additional attack, Miracle Beam (2 Colorless, variable damage, may apply special conditions; dot code ID C-32-b). No un-suffixed Aquapolis 103/147 printing exists - the card was only ever issued as 103a and 103b.","Aquapolis, English e-Card Series (2003-01-15)",https://bulbapedia.bulbagarden.net/wiki/Porygon_(Aquapolis_103),https://pkmncards.com/card/porygon-aquapolis-aq-103/,,"Same Bulbapedia trivia as 103a; the illustrator is identical across both versions (Masako Yamashita). The 103b dot code encodes the secret Miracle Beam attack. LIMITATION: PkmnCards keeps ONE page per Aquapolis number and does not separate the a and b prints, so it corroborates the illustrator credit on the physical card but supplies no a/b discrimination; Bulbapedia supplies that.",,HIGH,2026-08-20
ecard2-50a,ecard2,50a,Golduck,ECARD2_DOT_CODE_VARIANT,Sumiyoshi Kizuki,Sumiyoshi Kizuki,CONFIRMED_CORRECT,DISTINCT_PHYSICAL_PRINTING,ecard2-50b,Sumiyoshi Kizuki,NO,Aquapolis print physically numbered 50a/147. The a and b prints are separate physical printings of the same card that differ in the Pokemon-e Dot Code data printed on the card; artwork and illustrator credit are identical across both. This print's dot code carries map data for the Construction: Action application. No un-suffixed Aquapolis 50/147 printing exists - the card was only ever issued as 50a and 50b.,"Aquapolis, English e-Card Series (2003-01-15)",https://bulbapedia.bulbagarden.net/wiki/Golduck_(Aquapolis_50),https://pkmncards.com/card/golduck-aquapolis-aq-50/,,"Bulbapedia trivia: The a and b versions of this card are identical except for its Dot Code data. Both 50a/147 and 50b/147 are credited to Sumiyoshi Kizuki. PkmnCards AQ #50 scan reads 'illus. Sumiyoshi Kizuki'. LIMITATION: PkmnCards keeps ONE page per Aquapolis number and does not separate the a and b prints, so it corroborates the illustrator credit on the physical card but supplies no a/b discrimination; Bulbapedia supplies that. The Japanese release used a single expansion number (021/092) for both versions.",,HIGH,2026-08-20
ecard2-50b,ecard2,50b,Golduck,ECARD2_DOT_CODE_VARIANT,Sumiyoshi Kizuki,Sumiyoshi Kizuki,CONFIRMED_CORRECT,DISTINCT_PHYSICAL_PRINTING,ecard2-50a,Sumiyoshi Kizuki,NO,"Aquapolis print physically numbered 50b/147. The a and b prints are separate physical printings of the same card that differ in the Pokemon-e Dot Code data printed on the card; artwork and illustrator credit are identical across both. This print's dot code carries a hidden attack, Spiral Damage (Psychic + 2 Colorless, variable 0-80 damage). No un-suffixed Aquapolis 50/147 printing exists - the card was only ever issued as 50a and 50b.","Aquapolis, English e-Card Series (2003-01-15)",https://bulbapedia.bulbagarden.net/wiki/Golduck_(Aquapolis_50),https://pkmncards.com/card/golduck-aquapolis-aq-50/,,"Same Bulbapedia trivia as 50a: the two versions are identical except for Dot Code data, both credited to Sumiyoshi Kizuki. The 50b dot code encodes the hidden Spiral Damage attack. LIMITATION: PkmnCards keeps ONE page per Aquapolis number and does not separate the a and b prints, so it corroborates the illustrator credit on the physical card but supplies no a/b discrimination; Bulbapedia supplies that.",,HIGH,2026-08-20
ecard2-74a,ecard2,74a,Drowzee,ECARD2_DOT_CODE_VARIANT,Hisao Nakamura,Hisao Nakamura,CONFIRMED_CORRECT,DISTINCT_PHYSICAL_PRINTING,ecard2-74b,Hisao Nakamura,NO,Aquapolis print physically numbered 74a/147. The a and b prints are separate physical printings of the same card that differ in the Pokemon-e Dot Code data printed on the card; artwork and illustrator credit are identical across both. This print's dot code carries e-Reader dot code data (the variant is distinguished on Bulbapedia; its contents are not itemised there). No un-suffixed Aquapolis 74/147 printing exists - the card was only ever issued as 74a and 74b.,"Aquapolis, English e-Card Series (2003-01-15)",https://bulbapedia.bulbagarden.net/wiki/Drowzee_(Aquapolis_74),https://pkmncards.com/card/drowzee-aquapolis-aq-74/,,"Bulbapedia trivia: The a and b versions of this card are identical except for its Dot Code data. Both 74a/147 and 74b/147 are credited to Hisao Nakamura. PkmnCards AQ #74 scan reads 'Hisao Nakamura'. Japanese number 040/092 covers both versions without separate expansion numbers. LIMITATION: PkmnCards keeps ONE page per Aquapolis number and does not separate the a and b prints, so it corroborates the illustrator credit on the physical card but supplies no a/b discrimination; Bulbapedia supplies that.",,HIGH,2026-08-20
ecard2-74b,ecard2,74b,Drowzee,ECARD2_DOT_CODE_VARIANT,Hisao Nakamura,Hisao Nakamura,CONFIRMED_CORRECT,DISTINCT_PHYSICAL_PRINTING,ecard2-74a,Hisao Nakamura,NO,Aquapolis print physically numbered 74b/147. The a and b prints are separate physical printings of the same card that differ in the Pokemon-e Dot Code data printed on the card; artwork and illustrator credit are identical across both. This print's dot code carries e-Reader dot code data (the variant is distinguished on Bulbapedia; its contents are not itemised there). No un-suffixed Aquapolis 74/147 printing exists - the card was only ever issued as 74a and 74b.,"Aquapolis, English e-Card Series (2003-01-15)",https://bulbapedia.bulbagarden.net/wiki/Drowzee_(Aquapolis_74),https://pkmncards.com/card/drowzee-aquapolis-aq-74/,,"Same Bulbapedia trivia as 74a; the illustrator is identical across both versions (Hisao Nakamura). LIMITATION: PkmnCards keeps ONE page per Aquapolis number and does not separate the a and b prints, so it corroborates the illustrator credit on the physical card but supplies no a/b discrimination; Bulbapedia supplies that.",,HIGH,2026-08-20
ecard2-95a,ecard2,95a,Mr. Mime,ECARD2_DOT_CODE_VARIANT,Yukiko Baba,Yukiko Baba,CONFIRMED_CORRECT,DISTINCT_PHYSICAL_PRINTING,ecard2-95b,Yukiko Baba,NO,Aquapolis print physically numbered 95a/147. The a and b prints are separate physical printings of the same card that differ in the Pokemon-e Dot Code data printed on the card; artwork and illustrator credit are identical across both. This print's dot code carries data for the Dream Eater e-Reader mini-game (six other Aquapolis cards are required to play). No un-suffixed Aquapolis 95/147 printing exists - the card was only ever issued as 95a and 95b.,"Aquapolis, English e-Card Series (2003-01-15)",https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Aquapolis_95),https://pkmncards.com/card/mr-mime-aquapolis-aq-95/,,"Bulbapedia: Unlike the other three cards, where the a and b versions are identical except for their Dot Code data, the Energy Barrier Poke-Body on this card reads slightly differently - 95a says the maximum is 20, 95b says this ability is 20. The illustrator is Yukiko Baba on BOTH versions. The PkmnCards AQ #95 scan carries the 'reduced by Energy Barrier is 20' wording, identifying that scan as the 95a print, and reads 'Yukiko Baba'. This is the only one of the four cards where the a/b difference is visible in the printed card text itself.",,HIGH,2026-08-20
ecard2-95b,ecard2,95b,Mr. Mime,ECARD2_DOT_CODE_VARIANT,Yukiko Baba,Yukiko Baba,CONFIRMED_CORRECT,DISTINCT_PHYSICAL_PRINTING,ecard2-95a,Yukiko Baba,NO,Aquapolis print physically numbered 95b/147. The a and b prints are separate physical printings of the same card that differ in the Pokemon-e Dot Code data printed on the card; artwork and illustrator credit are identical across both. This print's dot code carries sound data for the Construction: Melody Box application. No un-suffixed Aquapolis 95/147 printing exists - the card was only ever issued as 95a and 95b.,"Aquapolis, English e-Card Series (2003-01-15)",https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Aquapolis_95),https://pkmncards.com/card/mr-mime-aquapolis-aq-95/,,"Bulbapedia distinguishes 95b by both dot code (Construction: Melody Box sound data) and Poke-Body wording (this ability is 20). Illustrator Yukiko Baba, identical to 95a. The PkmnCards AQ #95 scan shows the 95a wording, so it evidences the shared illustrator credit rather than the 95b print specifically.",,HIGH,2026-08-20
xya-107a,xya,107a,Professor Sycamore,XYA_YELLOW_A_ALTERNATE,Naoki Saito,Naoki Saito,CONFIRMED_CORRECT,SAME_PHYSICAL_PRINTING,xy9-107a,Yusuke Ohmura,YES,"Yellow A Alternate print physically numbered 107a/122 and bearing the BREAKpoint expansion symbol. Bulbapedia: Yellow A Alternate cards have the same card number and expansion symbol as the original print with a letter added to the card number; they are not a standalone expansion. The denominator 122 is BREAKpoint's official card count, so this physical card IS the BREAKpoint 107a print, i.e. xy9-107a.",Battle Arena Decks: Black Kyurem vs. White Kyurem (2017-06-16),https://bulbapedia.bulbagarden.net/wiki/Professor_Sycamore_(BREAKpoint_107),https://pkmncards.com/card/professor-sycamore-breakpoint-bkp-107a/,https://bulbapedia.bulbagarden.net/wiki/Yellow_A_Alternate_cards_(TCG),"Bulbapedia release info separates the prints: original art by Yusuke Ohmura, the Yellow A Alternate 107a/122 print Illus. Naoki Saito. PkmnCards BKP #107a/122 reads 'illus. Naoki Saito', Full Art / Alternate, dated Jun 16 2017. xya-107a stores Naoki Saito and is CORRECT; xy9-107a stores Yusuke Ohmura (the base illustrator) and is WRONG.","CONTRADICTION WITH SET-SCOPED TWIN: the twin row stores a different illustrator and was graded CONFIRMED_WRONG by ATTR-0 Gate 2. The xya row is the correct one. This is a TCGdex-internal contradiction between two records for one physical card, not a disagreement between external sources.",HIGH,2026-08-20
xya-24a,xya,24a,M Manectric-EX,XYA_YELLOW_A_ALTERNATE,5ban Graphics,5ban Graphics,CONFIRMED_CORRECT,SAME_PHYSICAL_PRINTING,xy4-24a,5ban Graphics,YES,"Yellow A Alternate print physically numbered 24a/119 and bearing the Phantom Forces expansion symbol. Bulbapedia: Yellow A Alternate cards have the same card number and expansion symbol as the original print with a letter added to the card number; they are not a standalone expansion. The denominator 119 is Phantom Forces's official card count, so this physical card IS the Phantom Forces 24a print, i.e. xy4-24a.",Mega Powers Collection (2017-05-19),https://bulbapedia.bulbagarden.net/wiki/M_Manectric-EX_(Phantom_Forces_24),https://pkmncards.com/card/m-manectric-ex-phantom-forces-phf-24a/,https://bulbapedia.bulbagarden.net/wiki/Yellow_A_Alternate_cards_(TCG),"Bulbapedia: Both prints feature artwork by 5ban Graphics; the Full Art print was included in the Mega Powers Collection (2017-05-19) as an English Yellow A Alternate card, gallery caption 'Full Art print / Illus. 5ban Graphics'. PkmnCards PHF #24a/119 reads 'illus. 5ban Graphics', Alternate. The alternate art is genuinely new artwork by the SAME illustrator, so the credit is unchanged and both xya-24a and xy4-24a are correct.",,HIGH,2026-08-20
