card_id,evidence_gate,current_effective_illustrator,current_effective_artist_id,verified_illustrator,verified_artist_match_count,expected_artist_id_override,target_artist_representation,fk_membership_consequence,losing_name_cards_remaining,measured_at
g1-28a,ATTR-0 Gate 2,Naoki Saito,,Ryo Ueda,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,298,2026-08-20
g1-73a,ATTR-0 Gate 2,Yusuke Ohmura,,Naoki Saito,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,57,2026-08-20
xy10-111a,ATTR-0 Gate 2,Ken Sugimori,,Naoki Saito,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,1107,2026-08-20
xy10-43a,ATTR-0 Gate 2,PLANETA,,Ryo Ueda,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,47,2026-08-20
xy4-65a,ATTR-0 Gate 2,Ayaka Yoshida,,Ryo Ueda,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,135,2026-08-20
xy6-77a,ATTR-0 Gate 2,Ayaka Yoshida,,TOKIYA,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,135,2026-08-20
xy7-75a,ATTR-0 Gate 2,Yusuke Ohmura,,You Iribi,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,57,2026-08-20
xy9-107a,ATTR-0 Gate 2,Yusuke Ohmura,,Naoki Saito,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,57,2026-08-20
xy9-98b,ATTR-0 Gate 2,Yusuke Ohmura,,Sanosuke Sakuma,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,57,2026-08-20
xyp-XY150a,ATTR-0 Gate 2,Eske Yoshinob,,Hasuno,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,168,2026-08-20
xyp-XY177a,ATTR-0 Gate 2,You Iribi,,Hitoshi Ariga,0,,NOT_REPRESENTED — no public.artists row resolves this name,NO_FK_MEMBERSHIP_CHANGE — effective artist_id is already NULL and stays NULL; the correction moves the displayed illustrator only,59,2026-08-20
xyp-XY67a,ATTR-0 §3,sui,sui,Naoki Saito,0,,NOT_REPRESENTED — no public.artists row resolves this name,LEAVES_CURATED_ARTIST_sui — the only FK membership change in the whole repair population; sui goes 224 -> 223 effective cards,223,2026-08-20
