variant_card_id,base_card_id,card_name,set_id,variant_local_id,current_illustrator,base_illustrator,artwork_distinct_from_base,verified_variant_illustrator,verdict,current_wrong_illustrator,verified_correct_illustrator,primary_source,secondary_source,evidence_notes,confidence,checked_at
g1-28a,g1-28,Jolteon EX,g1,28a,Naoki Saito,Naoki Saito,YES,Ryo Ueda,CONFIRMED_WRONG,Naoki Saito,Ryo Ueda,https://bulbapedia.bulbagarden.net/wiki/Jolteon-EX_(Generations_28),https://pkmncards.com/card/jolteon-ex-generations-gen-28a/,"Bulbapedia release info: regular 28/83 = Naoki Saito; the Full Art print (The Best of XY 173/171) is new artwork by Ryo Ueda and was released in English as Yellow A Alternate 28a/83. TCGdex's own xya-28a record independently reads Ryo Ueda, contradicting its g1-28a record.",HIGH,2026-08-20
g1-73a,g1-73,Team Flare Grunt,g1,73a,Yusuke Ohmura,Yusuke Ohmura,YES,Naoki Saito,CONFIRMED_WRONG,Yusuke Ohmura,Naoki Saito,https://bulbapedia.bulbagarden.net/wiki/Team_Flare_Grunt_(XY_129),https://pkmncards.com/card/team-flare-grunt-generations-gen-73a/,"Bulbapedia release info: Generations 73/83 = Yusuke Ohmura; The Best of XY Full Art 186/171 is new artwork by Naoki Saito, released as Yellow A Alternate 73a/83 based on the Generations print.",HIGH,2026-08-20
sm4-63a,sm4-63,Guzzlord GX,sm4,63a,5ban Graphics,5ban Graphics,YES,5ban Graphics,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/Guzzlord-GX_(Crimson_Invasion_63),https://pkmncards.com/card/guzzlord-gx-crimson-invasion-cin-63a/,Distinct GX Battle Boost source artwork included in the Guzzlord-GX Box (2018-01-05); illustrator genuinely unchanged at 5ban Graphics across all listed printings.,HIGH,2026-08-20
xy10-105a,xy10-105,N,xy10,105a,Megumi Mizutani,Megumi Mizutani,YES,Megumi Mizutani,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/N_(Noble_Victories_92),https://pkmncards.com/card/n-fates-collide-fco-105a/,"Bulbapedia states the Fates Collide Full Art print is new artwork by the same artist as 105 (Megumi Mizutani). Distinct artwork, same illustrator.",HIGH,2026-08-20
xy10-111a,xy10-111,Shauna,xy10,111a,Ken Sugimori,Ken Sugimori,YES,Naoki Saito,CONFIRMED_WRONG,Ken Sugimori,Naoki Saito,https://bulbapedia.bulbagarden.net/wiki/Shauna_(XY_127),https://pkmncards.com/card/shauna-fates-collide-fco-111a/,"Bulbapedia release info credits the Yellow A Alternate 111a/124 Full Art to Naoki Saito, distinct from Ken Sugimori's XY 127 / FCO 111 art. SOURCE CONFLICT: limitlesstcg.com/cards/fco/111a reads Ken Sugimori - see report section 8; Limitless reproduces the same base-illustrator defect on other rows and is treated as a derived feed, not an independent source.",HIGH,2026-08-20
xy10-43a,xy10-43,Regirock EX,xy10,43a,PLANETA,PLANETA,YES,Ryo Ueda,CONFIRMED_WRONG,PLANETA,Ryo Ueda,https://bulbapedia.bulbagarden.net/wiki/Regirock-EX_(Fates_Collide_43),https://pkmncards.com/card/regirock-ex-fates-collide-fco-43a/,Bulbapedia release info: regular 43/124 = PLANETA (PLANETA Otani per Trivia); the Full Art print released as Yellow A Alternate 43a/124 is credited to Ryo Ueda.,HIGH,2026-08-20
xy10-54a,xy10-54,Zygarde EX,xy10,54a,5ban Graphics,5ban Graphics,YES,5ban Graphics,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/Zygarde-EX_(Fates_Collide_54),https://pkmncards.com/card/zygarde-ex-fates-collide-fco-54a/,"Bulbapedia: 54a is a Full Art card with NEW artwork by 5ban Graphics (Mega Powers Collection, 2017-05-19). The separate XY151 promo is Eske Yoshinob, but that is a different card id and out of scope. TCGdex xya-54a agrees.",HIGH,2026-08-20
xy2-88a,xy2-88,Blacksmith,xy2,88a,Masakazu Fukuda,Masakazu Fukuda,YES,Masakazu Fukuda,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/Blacksmith_(Flashfire_88),https://pkmncards.com/card/blacksmith-flashfire-flf-88a/,Bulbapedia: The Best of XY Full Art 182/171 is new artwork by the same artist; every listed printing including 88a/106 credits Masakazu Fukuda.,HIGH,2026-08-20
xy3-55a,xy3-55,M Lucario EX,xy3,55a,5ban Graphics,5ban Graphics,YES,5ban Graphics,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/M_Lucario-EX_(Furious_Fists_55),https://pkmncards.com/card/m-lucario-ex-furious-fists-ffi-55a/,"Bulbapedia: Full Art 55a/111 (Mega Powers Collection, 2017-05-19) credited to 5ban Graphics, same as regular and secret prints. TCGdex xya-55a agrees.",HIGH,2026-08-20
xy4-24a,xy4-24,M Manectric EX,xy4,24a,5ban Graphics,5ban Graphics,YES,5ban Graphics,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/M_Manectric-EX_(Phantom_Forces_24),https://pkmncards.com/card/m-manectric-ex-phantom-forces-phf-24a/,Bulbapedia: all printings including Yellow A Alternate 24a/119 credit 5ban Graphics. TCGdex xya-24a agrees.,HIGH,2026-08-20
