set_id,family,base_card_id,variant_card_id,name,base_illustrator,variant_illustrator,illustrator_match,base_image_sha256,variant_image_sha256,artwork_bytes,risk_class
g1,28,g1-28,g1-28a,Jolteon EX,Naoki Saito,Naoki Saito,SAME,6db49df8753899002e0bac718d36097c015fcc17887b9b6a9fc04693250039e3,86ed09a534f8cf9846908693eb28329a1f20c1ede33da7372480c814eaa06dc6,DIFFERENT_BYTES,SUSPECT
g1,73,g1-73,g1-73a,Team Flare Grunt,Yusuke Ohmura,Yusuke Ohmura,SAME,0aafffca124c17151c5583975b0724a255a8ea181608bb959f65e66c497ea08b,cc1ab30bf1b4e25615710e5bc05aa72a8a4135888858ccf02511ed130d4c0d19,DIFFERENT_BYTES,SUSPECT
sm4,63,sm4-63,sm4-63a,Guzzlord GX,5ban Graphics,5ban Graphics,SAME,0997f490b4f8fe5f031a938053596fbcde5e67015b2dc0ee1688bd9a3e507f2f,3e538b2ba167105e508a2557ece72c132f548456255f65378c4909b95847119f,DIFFERENT_BYTES,SUSPECT
xy10,105,xy10-105,xy10-105a,N,Megumi Mizutani,Megumi Mizutani,SAME,565302e37e5b02502e2e857ce542b37d4e73815fcf5bdd11dd14b9c5f956dfff,f320733701e0ffd8c67783276cf545ce5fabe6e9a5d63b8437e675021cfc55bb,DIFFERENT_BYTES,SUSPECT
xy10,111,xy10-111,xy10-111a,Shauna,Ken Sugimori,Ken Sugimori,SAME,d48c4d30897ed89319250321983669ab024b8e1c7145afba565cd254388578ec,c03c7d60978c73226d4bb1b467a7abc12182802cf79fba373d8923bc1e6eeaa6,DIFFERENT_BYTES,SUSPECT
xy10,43,xy10-43,xy10-43a,Regirock EX,PLANETA,PLANETA,SAME,56b71772ccc69df3923dd49f28e527f9b25abea049890f42b7dd62f196819ca6,3d69ad4d42ed5f4c5a2dd3df98a77729ba13778ec636554a546a43137368c0e2,DIFFERENT_BYTES,SUSPECT
xy10,54,xy10-54,xy10-54a,Zygarde EX,5ban Graphics,5ban Graphics,SAME,94eec4260136691c82a6d07e0b0de0c22de7ae735a69d588d04436e7cd40d0bc,f92a7cfb699ef885980fc409ae230dae72a3299104c20784e29d79addc9d6b43,DIFFERENT_BYTES,SUSPECT
xy2,88,xy2-88,xy2-88a,Blacksmith,Masakazu Fukuda,Masakazu Fukuda,SAME,0f2455e9857955579c1de4e0ebe25c4b4b25ed51c8f1a51605d7bc3bb64a131b,621e76154d0d3b9f642f94e9257518c16359cd03ea1d1654ac1dd0b274fa182c,DIFFERENT_BYTES,SUSPECT
xy3,55,xy3-55,xy3-55a,M Lucario EX,5ban Graphics,5ban Graphics,SAME,844507b911b55d6f5eebaeae6730f9ff0472392119d5e0a8d80daab157f0dce8,34e5e296f8f89e6b97da156d0a644979a8222870d54c6396b4d0a9aa459d9048,DIFFERENT_BYTES,SUSPECT
xy4,24,xy4-24,xy4-24a,M Manectric EX,5ban Graphics,5ban Graphics,SAME,7be3dd8e17ba158ab34bb10eb30b6c9dd328d36042f21339e38388cf2e539a29,1b9c5884a1d9ec2c5a754fc02af4d4f2038fff35e3855a0bee9b0aa21fe64ff0,DIFFERENT_BYTES,SUSPECT
xy4,65,xy4-65,xy4-65a,Aegislash EX,Ayaka Yoshida,Ayaka Yoshida,SAME,d5a3140278121cf902abb38023f9e39291243e0730ba3e35cf359dc0eb3382ee,3476c40ec5f0a986b28aff03e16e30301d4b262b0b3e6d85d9e26fa90aceaf18,DIFFERENT_BYTES,SUSPECT
xy6,77,xy6-77,xy6-77a,Shaymin EX,Ayaka Yoshida,Ayaka Yoshida,SAME,0f8e49c5739abe73738a1854a1859acd0a51928a4d2c7d49d98da27c6641a6af,c7c3bae08e4a7e695ecc972ff39ad9c1a6d828fcf238240b49ee81ea5fa8a813,DIFFERENT_BYTES,SUSPECT
xy6,92,xy6-92,xy6-92a,Trainers' Mail,Toyste Beach,Toyste Beach,SAME,9454b0de5d703148c5df67173a677776008b125da56c718a5f9fba9ffcd87618,ac894f628802641b2269163c6faa8271ca656ed363dbc82b00a427116f052e16,DIFFERENT_BYTES,SUSPECT
xy7,75,xy7-75,xy7-75a,Hex Maniac,Yusuke Ohmura,Yusuke Ohmura,SAME,0b65faf9c5190064e13c465daa46142c7699ddeadb98df21d313cfe1b5312f2d,dc90ab7e89d853f24e0bab11dbbca9814a5dfe1ded338f939055f3064c079e3f,DIFFERENT_BYTES,SUSPECT
xy8,146,xy8-146,xy8-146a,Professor's Letter,5ban Graphics,,DIFFERENT,8777c13181b7d16b7e17e9722799d5dd52326c4aeda09adabf341fb872cc0133,,UNKNOWN,DISTINCT_ATTRIBUTION
xy9,107,xy9-107,xy9-107a,Professor Sycamore,Yusuke Ohmura,Yusuke Ohmura,SAME,5665b5c0800887718f53c53a502c549ba94114334451adac4572bcf74e08ed08,a8c1befbf4085214e87fda9d966e5eced514facfbab9ed35b22e203cdbf8e308,DIFFERENT_BYTES,SUSPECT
xy9,98,xy9-98,xy9-98a,Delinquent,Yusuke Ohmura,Megumi Mizutani,DIFFERENT,e56ff29521d6f6385c697802a15c7672f1bdc53d92f12cc90f42f7f17ea9fdf6,02f02e055ef195d2d6ec5e23ff86631e5bd052404db113604d809b9b800fcc95,DIFFERENT_BYTES,DISTINCT_ATTRIBUTION
xy9,98,xy9-98,xy9-98b,Delinquent,Yusuke Ohmura,Yusuke Ohmura,SAME,e56ff29521d6f6385c697802a15c7672f1bdc53d92f12cc90f42f7f17ea9fdf6,0b4a01248e0cb5e023b729b4734586e1c0276c747607077122355dd012ed5cde,DIFFERENT_BYTES,SUSPECT
xyp,XY150,xyp-XY150,xyp-XY150a,Yveltal EX,Eske Yoshinob,Eske Yoshinob,SAME,9e819a76ac2d049d702deb01316e3823ef93a158acdb70dbdf76cbf8087c5e32,f8de2973b7a531a0457d480db24858747dc86c81436138c321d14806001de303,DIFFERENT_BYTES,SUSPECT
xyp,XY177,xyp-XY177,xyp-XY177a,Karen,You Iribi,You Iribi,SAME,93ad2e953e09c1849ab425735df5881ce5e36427092851e6cc1b09ba0053a5f4,6dd8df1846fa73f8d37f59603afa6f1e04169189b1ddbc092f8be67fd4d47f52,DIFFERENT_BYTES,SUSPECT
xyp,XY198,xyp-XY198,xyp-XY198a,M Camerupt-EX,5ban Graphics,5ban Graphics,SAME,ad2eecc68060eb396785db7f71f7759721c61a613aaf5f87d997494d1fd10456,9d0261d888966d1516a71b796ed32e8e85e9e136c14d7476c66c2ce0088b83b0,DIFFERENT_BYTES,SUSPECT
xyp,XY200,xyp-XY200,xyp-XY200a,M Sharpedo-EX,5ban Graphics,5ban Graphics,SAME,95affb165e9e0f08b78be13f5de3792301793ebc0dc14a6544b0576c6b234f42,264e0bdab5349e393b0e597829d740397acc8f4b5b16b076a62d90c3eeff63e0,DIFFERENT_BYTES,SUSPECT
