set_id,set_name,cards_total,image_url_missing,illustrator_missing,illustrator_present_artist_id_null,local_id_missing,set_name_missing,name_empty,matcher_unreachable,pct_image_missing
2011bw,McDonald's Collection 2011,12,12,0,11,0,0,0,0,100.00
2012bw,McDonald's Collection 2012,12,12,0,3,0,0,0,0,100.00
2014xy,McDonald's Collection 2014,12,12,0,12,0,0,0,0,100.00
2015xy,McDonald's Collection 2015,12,12,0,9,0,0,0,0,100.00
2016xy,McDonald's Collection 2016,12,12,0,9,0,0,0,0,100.00
2017sm,McDonald's Collection 2017,12,12,0,11,0,0,0,0,100.00
2018sm,McDonald's Collection 2018,12,12,0,6,0,0,0,0,100.00
2019sm,McDonald's Collection 2019,12,12,0,9,0,0,0,0,100.00
2021swsh,McDonald's Collection 2021,25,25,0,18,0,0,0,0,100.00
2022swsh,McDonald's Collection 2022,15,15,0,8,0,0,0,0,100.00
2023sv,McDonald's Collection 2023,15,15,0,10,0,0,0,0,100.00
2024sv,McDonald's Collection 2024,15,15,0,11,0,0,0,0,100.00
A1,Genetic Apex,286,0,0,235,0,0,0,0,0.00
A1a,Mythical Island,86,0,0,70,0,0,0,0,0.00
A2,Space-Time Smackdown,207,0,0,164,0,0,0,0,0.00
A2a,Triumphant Light,96,0,0,80,0,0,0,0,0.00
A2b,Shining Revelry,111,0,0,98,0,0,0,0,0.00
A3,Celestial Guardians,239,0,0,201,0,0,0,0,0.00
A3a,Extradimensional Crisis,103,0,0,85,0,0,0,0,0.00
A3b,Eevee Grove,107,0,0,86,0,0,0,0,0.00
A4,Wisdom of Sea and Sky,241,0,0,202,0,0,0,0,0.00
A4a,Secluded Springs,105,0,0,85,0,0,0,0,0.00
B1,Mega Rising,331,0,0,288,0,0,0,0,0.00
B1a,Crimson Blaze,103,1,0,91,0,0,0,0,0.97
B2,Fantastical Parade,234,0,0,197,0,0,0,0,0.00
B2a,Paldean Wonders,131,131,0,105,0,0,0,0,100.00
base1,Base Set,102,0,0,102,0,0,0,0,0.00
base2,Jungle,64,0,0,64,0,0,0,0,0.00
base3,Fossil,62,0,0,62,0,0,0,0,0.00
base4,Base Set 2,130,0,0,130,0,0,0,0,0.00
base5,Team Rocket,83,0,0,78,0,0,0,0,0.00
basep,Wizards Black Star Promos,53,0,0,45,0,0,0,0,0.00
bog,Best of game,9,9,0,9,0,0,0,0,100.00
bw1,Black & White,115,0,8,66,0,0,0,0,0.00
bw10,Plasma Blast,105,0,0,88,0,0,0,0,0.00
bw11,Legendary Treasures,140,0,0,106,0,0,0,0,0.00
bw2,Emerging Powers,98,0,0,67,0,0,0,0,0.00
bw3,Noble Victories,102,0,0,72,0,0,0,0,0.00
bw4,Next Destinies,103,0,0,83,0,0,0,0,0.00
bw5,Dark Explorers,111,0,0,82,0,0,0,0,0.00
bw6,Dragons Exalted,128,0,0,98,0,0,0,0,0.00
bw7,Boundaries Crossed,153,0,0,125,0,0,0,0,0.00
bw8,Plasma Storm,138,0,0,117,0,0,0,0,0.00
bw9,Plasma Freeze,122,0,0,105,0,0,0,0,0.00
bwp,BW Black Star Promos,101,3,2,88,0,0,0,0,2.97
cel25,Celebrations,50,26,0,45,0,0,0,0,52.00
cel25cc,Celebrations Classic Collection,25,25,0,23,0,0,0,0,100.00
col1,Call of Legends,106,0,8,84,0,0,0,0,0.00
dc1,Double Crisis,34,0,0,30,0,0,0,0,0.00
det1,Detective Pikachu,18,0,0,18,0,0,0,0,0.00
dp1,Diamond & Pearl,130,0,8,95,0,0,0,0,0.00
dp2,Mysterious Treasures,124,0,0,92,0,0,0,0,0.00
dp3,Secret Wonders,132,0,0,100,0,0,0,0,0.00
dp4,Great Encounters,106,0,0,87,0,0,0,0,0.00
dp5,Majestic Dawn,100,0,0,77,0,0,0,0,0.00
dp6,Legends Awakened,146,0,0,108,0,0,0,0,0.00
dp7,Stormfront,106,0,0,77,0,0,0,0,0.00
dpp,DP Black Star Promos,56,0,1,49,0,0,0,0,0.00
dv1,Dragon Vault,21,0,0,18,0,0,0,0,0.00
ecard1,Expedition Base Set,165,0,2,127,0,0,0,0,0.00
ecard2,Aquapolis,185,40,6,140,0,0,0,0,21.62
ecard3,Skyridge,182,32,0,137,0,0,0,0,17.58
ex1,Ruby & Sapphire,109,0,6,88,0,0,0,0,0.00
ex10,Unseen Forces,117,0,1,85,0,0,0,0,0.00
ex11,Delta Species,114,0,0,77,0,0,0,0,0.00
ex12,Legend Maker,93,0,0,69,0,0,0,0,0.00
ex13,Holon Phantoms,111,0,6,72,0,0,0,0,0.00
ex14,Crystal Guardians,100,0,0,73,0,0,0,0,0.00
ex15,Dragon Frontiers,101,0,0,71,0,0,0,0,0.00
ex16,Power Keepers,108,0,6,90,0,0,0,0,0.00
ex2,Sandstorm,100,0,0,77,0,0,0,0,0.00
ex3,Dragon,100,0,0,80,0,0,0,0,0.00
ex4,Team Magma vs Team Aqua,97,0,0,97,0,0,0,0,0.00
ex5,Hidden Legends,102,0,0,81,0,0,0,0,0.00
ex5.5,Poké Card Creator Pack,5,5,0,5,0,0,0,0,100.00
ex6,FireRed & LeafGreen,116,0,0,88,0,0,0,0,0.00
ex7,Team Rocket Returns,111,0,0,80,0,0,0,0,0.00
ex8,Deoxys,108,0,0,83,0,0,0,0,0.00
ex9,Emerald,107,0,7,64,0,0,0,0,0.00
exu,Unseen Forces Unown Collection,27,27,0,27,0,0,0,0,100.00
fut2020,Pokémon Futsal 2020,5,0,0,5,0,0,0,0,0.00
g1,Generations,117,0,10,89,0,0,0,0,0.00
gym1,Gym Heroes,132,0,0,113,0,0,0,0,0.00
gym2,Gym Challenge,132,0,0,120,0,0,0,0,0.00
hgss1,HeartGold SoulSilver,124,0,8,88,0,0,0,0,0.00
hgss2,Unleashed,96,0,0,69,0,0,0,0,0.00
hgss3,Undaunted,91,0,0,72,0,0,0,0,0.00
hgss4,Triumphant,103,0,0,81,0,0,0,0,0.00
hgssp,HGSS Black Star Promos,25,9,0,17,0,0,0,0,36.00
lc,Legendary Collection,110,0,0,110,0,0,0,0,0.00
me01,Mega Evolution,188,0,0,173,0,0,0,0,0.00
