metric_key,scope,count,denominator,pct,severity,query_id,captured_at
cards_total,global,23780,23780,100.00,informational,A5,2026-07-27T13:55:39Z
effective_total,global,23780,23780,100.00,informational,A5,2026-07-27T13:55:39Z
effective_distinct_ids,global,23780,23780,100.00,invariant,A5,2026-07-27T13:55:39Z
effective_null_ids,global,0,23780,0.00,invariant,A5,2026-07-27T13:55:39Z
card_extras_total,global,5,,,informational,A5,2026-07-27T13:55:39Z
artists_total,global,22,,,informational,A5,2026-07-27T13:55:39Z
inv_rows_lost,global,0,23780,0.00,invariant,Q1.INV,2026-07-27T13:55:39Z
inv_dup_ids,global,0,23780,0.00,invariant,Q1.INV,2026-07-27T13:55:39Z
inv_extras_orphan,global,0,5,0.00,invariant,Q1.INV,2026-07-27T13:55:39Z
inv_artist_orphan,global,0,23780,0.00,invariant,Q1.INV,2026-07-27T13:55:39Z
dup_set_number_groups,global,0,,,invariant,Q1.2,2026-07-27T13:55:39Z
image_url_missing,global,1640,23780,6.90,P2,Q2.3,2026-07-27T13:55:39Z
illustrator_missing,global,2009,23780,8.45,P1,Q2.3,2026-07-27T13:55:39Z
illustrator_present_artist_id_null,global,18183,23780,76.46,informational,Q2.3,2026-07-27T13:55:39Z
artist_id_null_total,global,20192,23780,84.91,informational,Q2.3,2026-07-27T13:55:39Z
local_id_missing,global,0,23780,0.00,invariant,Q2.3,2026-07-27T13:55:39Z
set_id_missing,global,0,23780,0.00,invariant,Q2.3,2026-07-27T13:55:39Z
set_name_missing,global,0,23780,0.00,invariant,Q2.3,2026-07-27T13:55:39Z
name_empty,global,0,23780,0.00,invariant,Q2.3,2026-07-27T13:55:39Z
matcher_unreachable,global,0,23780,0.00,invariant,Q2.3,2026-07-27T13:55:39Z
series_null,global,23780,23780,100.00,P1,Q6.1,2026-07-27T13:55:39Z
release_date_null,global,23780,23780,100.00,P1,Q6.1,2026-07-27T13:55:39Z
rarity_null,global,0,23780,0.00,invariant,Q6.4,2026-07-27T13:55:39Z
pricing_null,global,3883,23780,16.33,out_of_scope,Q6.4,2026-07-27T13:55:39Z
pricing_source_null,global,3883,23780,16.33,out_of_scope,Q6.4,2026-07-27T13:55:39Z
last_synced_at_null,global,0,23780,0.00,invariant,Q6.4,2026-07-27T13:55:39Z
known_identity_stale_fk_missing,global,499,,,P2,Q3.9,2026-07-27T13:55:39Z
known_identity_stale_fk_wrong,global,0,,,invariant,Q3.9,2026-07-27T13:55:39Z
directory_artist_conflicts,global,0,,,invariant,Q3.7,2026-07-27T13:55:39Z
alias_collisions,global,0,,,invariant,Q3.5,2026-07-27T13:55:39Z
unicode_risk_cards,global,12,23780,0.05,P3,Q3.3,2026-07-27T13:55:39Z
unicode_risk_illustrator_strings,global,3,,,P3,Q3.3,2026-07-27T13:55:39Z
sets_fully_image_missing,global,51,,,P2,Q4.1,2026-07-27T13:55:39Z
image_missing_in_fully_missing_sets,global,1370,1640,83.54,P2,Q4.1,2026-07-27T13:55:39Z
owned_distinct_cards,owned_active_snapshot,4776,4776,100.00,informational,Q5.2,2026-07-27T13:55:39Z
owned_image_url_missing,owned_active_snapshot,114,4776,2.39,P2,Q5.2,2026-07-27T13:55:39Z
owned_illustrator_missing,owned_active_snapshot,409,4776,8.56,P1,Q5.2,2026-07-27T13:55:39Z
backfill_target_sets,backfill_target_population,9,,,informational,Q6.3,2026-07-27T13:55:39Z
backfill_target_cards,backfill_target_population,1320,,,informational,Q6.3,2026-07-27T13:55:39Z
backfill_target_illustrator_null,backfill_target_population,1320,1320,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:swsh9,216,216,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:swsh10,246,246,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:swsh10.5,88,88,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:swsh11,247,247,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:swsh12,245,245,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:swsh12.5,230,230,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:mee,8,8,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:ru1,16,16,100.00,P1,Q6.3,2026-07-27T13:55:39Z
illustrator_null,set:sve,24,24,100.00,P1,Q6.3,2026-07-27T13:55:39Z
cards_synced,sync_day:2026-06-23,23235,23780,97.71,informational,Q6.2,2026-07-27T13:55:39Z
cards_synced,sync_day:2026-07-13,342,23780,1.44,informational,Q6.2,2026-07-27T13:55:39Z
cards_synced,sync_day:2026-07-20,176,23780,0.74,informational,Q6.2,2026-07-27T13:55:39Z
cards_synced,sync_day:2026-07-27,27,23780,0.11,informational,Q6.2,2026-07-27T13:55:39Z
stale_fk_missing,artist:midori-harada,378,379,99.74,P2,Q3.9,2026-07-27T13:55:39Z
stale_fk_missing,artist:suwama-chiaki,121,121,100.00,P2,Q3.9,2026-07-27T13:55:39Z
