alias_card_id,canonical_card_id,canonical_set_id,canonical_local_id,canonical_name,alias_state,asset_liveness,asset_reason,asset_status
swsh12.5-GG01,swsh12.5gg-GG01,swsh12.5gg,GG01,Hisuian Voltorb,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:20106b,200
swsh12.5-GG02,swsh12.5gg-GG02,swsh12.5gg,GG02,Kricketune,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:22232b,200
swsh12.5-GG03,swsh12.5gg-GG03,swsh12.5gg,GG03,Magmortar,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:23960b,200
swsh12.5-GG04,swsh12.5gg-GG04,swsh12.5gg,GG04,Oricorio,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:31938b,200
swsh12.5-GG05,swsh12.5gg-GG05,swsh12.5gg,GG05,Lapras,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:18682b,200
swsh12.5-GG06,swsh12.5gg-GG06,swsh12.5gg,GG06,Manaphy,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:20768b,200
swsh12.5-GG07,swsh12.5gg-GG07,swsh12.5gg,GG07,Keldeo,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:22550b,200
swsh12.5-GG08,swsh12.5gg-GG08,swsh12.5gg,GG08,Electivire,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:26244b,200
swsh12.5-GG09,swsh12.5gg-GG09,swsh12.5gg,GG09,Toxtricity,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:27670b,200
swsh12.5-GG10,swsh12.5gg-GG10,swsh12.5gg,GG10,Mew,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:25982b,200
swsh12.5-GG11,swsh12.5gg-GG11,swsh12.5gg,GG11,Lunatone,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:24390b,200
swsh12.5-GG12,swsh12.5gg-GG12,swsh12.5gg,GG12,Deoxys,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:32466b,200
swsh12.5-GG13,swsh12.5gg-GG13,swsh12.5gg,GG13,Diancie,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:29034b,200
swsh12.5-GG14,swsh12.5gg-GG14,swsh12.5gg,GG14,Comfey,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:18860b,200
swsh12.5-GG15,swsh12.5gg-GG15,swsh12.5gg,GG15,Solrock,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:24040b,200
swsh12.5-GG16,swsh12.5gg-GG16,swsh12.5gg,GG16,Absol,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:20642b,200
swsh12.5-GG17,swsh12.5gg-GG17,swsh12.5gg,GG17,Thievul,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:24968b,200
swsh12.5-GG18,swsh12.5gg-GG18,swsh12.5gg,GG18,Magnezone,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:31758b,200
swsh12.5-GG19,swsh12.5gg-GG19,swsh12.5gg,GG19,Altaria,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:18814b,200
swsh12.5-GG20,swsh12.5gg-GG20,swsh12.5gg,GG20,Latias,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:24928b,200
swsh12.5-GG21,swsh12.5gg-GG21,swsh12.5gg,GG21,Hisuian Goodra,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:20934b,200
swsh12.5-GG22,swsh12.5gg-GG22,swsh12.5gg,GG22,Ditto,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:21034b,200
swsh12.5-GG23,swsh12.5gg-GG23,swsh12.5gg,GG23,Dunsparce,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:21270b,200
swsh12.5-GG24,swsh12.5gg-GG24,swsh12.5gg,GG24,Miltank,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:24984b,200
swsh12.5-GG25,swsh12.5gg-GG25,swsh12.5gg,GG25,Bibarel,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:21036b,200
swsh12.5-GG26,swsh12.5gg-GG26,swsh12.5gg,GG26,Riolu,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:16424b,200
swsh12.5-GG27,swsh12.5gg-GG27,swsh12.5gg,GG27,Swablu,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:14842b,200
swsh12.5-GG28,swsh12.5gg-GG28,swsh12.5gg,GG28,Duskull,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:15270b,200
swsh12.5-GG29,swsh12.5gg-GG29,swsh12.5gg,GG29,Bidoof,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:20206b,200
swsh12.5-GG30,swsh12.5gg-GG30,swsh12.5gg,GG30,Pikachu,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:19276b,200
swsh12.5-GG31,swsh12.5gg-GG31,swsh12.5gg,GG31,Turtwig,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:18266b,200
swsh12.5-GG32,swsh12.5gg-GG32,swsh12.5gg,GG32,Paras,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:19776b,200
swsh12.5-GG33,swsh12.5gg-GG33,swsh12.5gg,GG33,Poochyena,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:15950b,200
swsh12.5-GG34,swsh12.5gg-GG34,swsh12.5gg,GG34,Mareep,A2_ALIAS_IMAGE_CANONICAL_MISSING,ASSET_LIVE,image/webp:17752b,200
