set_id,set_name,series,set_release_date,cards_total,image_missing,image_populated,pct_missing,coverage_class
B2a,Paldean Wonders,Pokémon TCG Pocket,2026-02-26,131,131,0,100.00,fully_missing
swsh4.5sv,Shining Fates Shiny Vault,Sword & Shield,2021-02-19,122,122,0,100.00,fully_missing
sm3.5,Shining Legends,Sun & Moon,2017-10-06,78,78,0,100.00,fully_missing
sm7.5,Dragon Majesty,Sun & Moon,2018-09-07,78,78,0,100.00,fully_missing
swsh12.5gg,Crown Zenith Galarian Gallery,Sword & Shield,2023-01-20,70,70,0,100.00,fully_missing
smp,SM Black Star Promos,Sun & Moon,2017-02-03,248,67,181,27.02,partially_missing
mep,MEP Black Star Promos,Mega Evolution,2025-09-26,60,60,0,100.00,fully_missing
ecard2,Aquapolis,E-Card,2003-01-15,185,40,145,21.62,partially_missing
mfb,My First Battle,Scarlet & Violet,2023-09-29,34,34,0,100.00,fully_missing
svp,SVP Black Star Promos,Scarlet & Violet,2023-03-31,226,34,192,15.04,partially_missing
ecard3,Skyridge,E-Card,2003-05-12,182,32,150,17.58,partially_missing
swsh10.5tg,Astral Radiance Trainer Gallery,Sword & Shield,2022-05-27,30,30,0,100.00,fully_missing
swsh11.5tg,Lost Origin Trainer Gallery,Sword & Shield,2022-09-09,30,30,0,100.00,fully_missing
swsh12.5tg,Silver Tempest Trainer Gallery,Sword & Shield,2022-11-11,30,30,0,100.00,fully_missing
swsh9.5tg,Brilliant Stars Trainer Gallery,Sword & Shield,2022-02-25,30,30,0,100.00,fully_missing
tk-bw-e,BW trainer Kit (Excadrill),Trainer kits,2011-09-01,30,30,0,100.00,fully_missing
tk-bw-z,BW trainer Kit (Zoroark),Trainer kits,2011-09-01,30,30,0,100.00,fully_missing
tk-xy-b,XY trainer Kit (Bisharp),Trainer kits,2014-11-01,30,30,0,100.00,fully_missing
tk-xy-latia,XY trainer Kit (Latias),Trainer kits,2015-04-29,30,30,0,100.00,fully_missing
tk-xy-latio,XY trainer Kit (Latios),Trainer kits,2015-04-29,30,30,0,100.00,fully_missing
tk-xy-n,XY trainer Kit (Noivern),Trainer kits,2014-03-12,30,30,0,100.00,fully_missing
tk-xy-p,XY trainer Kit (Pikachu Libre),Trainer kits,2016-04-27,30,30,0,100.00,fully_missing
tk-xy-su,XY trainer Kit (Suicune),Trainer kits,2016-04-27,30,30,0,100.00,fully_missing
tk-xy-sy,XY trainer Kit (Sylveon),Trainer kits,2014-03-12,30,30,0,100.00,fully_missing
tk-xy-w,XY trainer Kit (Wigglytuff),Trainer kits,2014-11-01,30,30,0,100.00,fully_missing
