id,set_id,set_name,local_id,name,tcgdex_state,tcgdex_reason,ptcgio_state,ptcgio_reason,ptcgio_status,id_match,number_match,name_match,set_match,alias_state,alias_asset_liveness,outcome,sensitivity_outcome
2011bw-1,2011bw,McDonald's Collection 2011,1,Snivy,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-10,2011bw,McDonald's Collection 2011,10,Klink,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-11,2011bw,McDonald's Collection 2011,11,Pidove,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-12,2011bw,McDonald's Collection 2011,12,Audino,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-2,2011bw,McDonald's Collection 2011,2,Maractus,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-3,2011bw,McDonald's Collection 2011,3,Tepig,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-4,2011bw,McDonald's Collection 2011,4,Oshawott,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-5,2011bw,McDonald's Collection 2011,5,Alomomola,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-6,2011bw,McDonald's Collection 2011,6,Blitzle,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-7,2011bw,McDonald's Collection 2011,7,Munna,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-8,2011bw,McDonald's Collection 2011,8,Sandile,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2011bw-9,2011bw,McDonald's Collection 2011,9,Zorua,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-1,2012bw,McDonald's Collection 2012,1,Servine,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-10,2012bw,McDonald's Collection 2012,10,Scraggy,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-11,2012bw,McDonald's Collection 2012,11,Klang,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-12,2012bw,McDonald's Collection 2012,12,Axew,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-2,2012bw,McDonald's Collection 2012,2,Pansage,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-3,2012bw,McDonald's Collection 2012,3,Dwebble,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-4,2012bw,McDonald's Collection 2012,4,Pignite,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-5,2012bw,McDonald's Collection 2012,5,Dewott,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-6,2012bw,McDonald's Collection 2012,6,Emolga,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-7,2012bw,McDonald's Collection 2012,7,Woobat,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-8,2012bw,McDonald's Collection 2012,8,Drilbur,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2012bw-9,2012bw,McDonald's Collection 2012,9,Purrloin,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2014xy-1,2014xy,McDonald's Collection 2014,1,Weedle,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2014xy-10,2014xy,McDonald's Collection 2014,10,Bunnelby,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2014xy-11,2014xy,McDonald's Collection 2014,11,Fletchling,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2014xy-12,2014xy,McDonald's Collection 2014,12,Furfrou,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
2014xy-2,2014xy,McDonald's Collection 2014,2,Chespin,T2_TCGDEX_ENTITY_PRESENT_IMAGE_ABSENT,card_image_absent,,,,,,,,A0_NOT_APPLICABLE,ASSET_NOT_APPLICABLE,,
