set_id,state,upstream_name,upstream_cards,briefs_with_image,briefs_project_image,reason
2011bw,SET_PRESENT,McDonald's Collection 2011,12,0,false,
2012bw,SET_PRESENT,McDonald's Collection 2012,12,0,false,
2014xy,SET_PRESENT,McDonald's Collection 2014,12,0,false,
2015xy,SET_PRESENT,McDonald's Collection 2015,12,0,false,
2016xy,SET_PRESENT,McDonald's Collection 2016,12,0,false,
2017sm,SET_PRESENT,McDonald's Collection 2017,12,0,false,
2018sm,SET_PRESENT,McDonald's Collection 2018,12,0,false,
2019sm,SET_PRESENT,McDonald's Collection 2019,12,0,false,
2021swsh,SET_PRESENT,McDonald's Collection 2021,25,0,false,
2022swsh,SET_PRESENT,McDonald's Collection 2022,15,0,false,
2023sv,SET_PRESENT,McDonald's Collection 2023,15,0,false,
2024sv,SET_PRESENT,McDonald's Collection 2024,15,0,false,
B1a,SET_PRESENT,Crimson Blaze,103,102,true,
B2a,SET_PRESENT,Paldean Wonders,131,0,false,
P-A,SET_PRESENT,Promos-A,100,73,true,
bog,SET_PRESENT,Best of game,9,0,false,
bwp,SET_PRESENT,BW Black Star Promos,101,98,true,
cel25,SET_PRESENT,Celebrations,25,24,true,
cel25cc,SET_PRESENT,Celebrations Classic Collection,25,0,false,
ecard2,SET_PRESENT,Aquapolis,186,146,true,
ecard3,SET_PRESENT,Skyridge,182,150,true,
ex5.5,SET_PRESENT,Poké Card Creator Pack,5,0,false,
exu,SET_PRESENT,Unseen Forces Unown Collection,28,0,false,
hgssp,SET_PRESENT,HGSS Black Star Promos,25,16,true,
mee,SET_PRESENT,Mega Evolution Energy,8,0,false,
mep,SET_PRESENT,MEP Black Star Promos,89,0,false,
mfb,SET_PRESENT,My First Battle,34,0,false,
miscp,SET_PRESENT,Miscellaneous Promos,1,0,false,
pl2,SET_PRESENT,Rising Rivals,120,119,true,
pop6,SET_PRESENT,POP Series 6,17,15,true,
sm2,SET_PRESENT,Guardians Rising,169,168,true,
sm3.5,SET_PRESENT,Shining Legends,78,0,false,
sm6,SET_PRESENT,Forbidden Light,146,140,true,
sm7.5,SET_PRESENT,Dragon Majesty,78,0,false,
smp,SET_PRESENT,SM Black Star Promos,248,181,true,
sve,SET_PRESENT,Scarlet & Violet Energy,24,0,false,
svp,SET_PRESENT,SVP Black Star Promos,226,192,true,
swsh10.5tg,SET_ABSENT,,0,0,false,
swsh11.5tg,SET_ABSENT,,0,0,false,
swsh12.5gg,SET_PRESENT,Crown Zenith Galarian Gallery,70,0,false,
swsh12.5tg,SET_ABSENT,,0,0,false,
swsh4.5sv,SET_PRESENT,Shining Fates Shiny Vault,122,0,false,
swsh9.5tg,SET_ABSENT,,0,0,false,
swshp,SET_PRESENT,SWSH Black Star Promos,305,285,true,
tk-bw-e,SET_PRESENT,BW trainer Kit (Excadrill),30,0,false,
tk-bw-z,SET_PRESENT,BW trainer Kit (Zoroark),30,0,false,
tk-dp-l,SET_PRESENT,DP trainer Kit (Lucario),11,0,false,
tk-dp-m,SET_PRESENT,DP trainer Kit (Manaphy),12,0,false,
tk-ex-latia,SET_PRESENT,EX trainer Kit (Latias),10,0,false,
tk-ex-latio,SET_PRESENT,EX trainer Kit (Latios),10,0,false,
tk-ex-m,SET_PRESENT,EX trainer Kit 2 (Minun),12,0,false,
tk-ex-p,SET_PRESENT,EX trainer Kit 2 (Plusle),12,0,false,
tk-hs-g,SET_PRESENT,HS trainer Kit (Gyarados),30,0,false,
tk-hs-r,SET_PRESENT,HS trainer Kit (Raichu),30,0,false,
tk-sm-l,SET_PRESENT,SM trainer Kit (Lycanroc),18,0,false,
tk-sm-r,SET_PRESENT,SM trainer Kit (Alolan Raichu),30,0,false,
tk-xy-b,SET_PRESENT,XY trainer Kit (Bisharp),30,0,false,
tk-xy-latia,SET_PRESENT,XY trainer Kit (Latias),30,0,false,
tk-xy-latio,SET_PRESENT,XY trainer Kit (Latios),30,0,false,
tk-xy-n,SET_PRESENT,XY trainer Kit (Noivern),30,0,false,
tk-xy-p,SET_PRESENT,XY trainer Kit (Pikachu Libre),30,0,false,
tk-xy-su,SET_PRESENT,XY trainer Kit (Suicune),30,0,false,
tk-xy-sy,SET_PRESENT,XY trainer Kit (Sylveon),30,0,false,
tk-xy-w,SET_PRESENT,XY trainer Kit (Wigglytuff),30,0,false,
xy8,SET_PRESENT,BREAKthrough,165,164,true,
xya,SET_PRESENT,Yellow A Alternate,6,0,false,
xyp,SET_PRESENT,XY Black Star Promos,216,213,true,
